Stream,StreamSection,StreamPartText,Name,Order,Easting,Northing,Elevation,Elevation_corr,Width,Depth1,Depth2,Depth3,Longitude,Latitude,Ellipsoidal height,Ellh_corr,Origin,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Antenna height units,Solution status,Averaging start,Averaging end,Samples,PDOP,Base easting,Base northing,Base elevation,Base longitude,Base latitude,Base ellipsoidal height,Baseline,CS name
3,4,,3 Bach 7,7,2645694.265,1149982.85,2658.145,2656.735,80,20,24,24,8.03388634,46.49960182,2711.431,2710.021,Global,0.012,0.017,0.014,0.021,0.134,m,FIX,2024-08-09 15:18:45.8 UTC+02:00,2024-08-09 15:18:55.8 UTC+02:00,51,1.5,2645713.674,1149964.656,2666.29,8.03413737,46.49943684,2719.576,27.802,CH1903+ / LV95 + LN02 height
3,4,,3 Bach 8,8,2645711.403,1149976.761,2657.544,2656.134,80,25,30,30,8.03410898,46.49954587,2710.83,2709.42,Global,0.011,0.01,0.014,0.015,0.134,m,FIX,2024-08-09 15:20:38.0 UTC+02:00,2024-08-09 15:20:48.0 UTC+02:00,51,1.7,2645713.674,1149964.656,2666.29,8.03413737,46.49943684,2719.576,15.028,CH1903+ / LV95 + LN02 height
3,5,CTD,3 Bach 9,9,2645719.916,1149971.204,2657.158,2655.748,110,15,38,40,8.03421932,46.49949531,2710.444,2709.034,Global,0.013,0.012,0.017,0.018,0.134,m,FIX,2024-08-09 15:22:20.4 UTC+02:00,2024-08-09 15:22:30.4 UTC+02:00,51,1.6,2645713.674,1149964.656,2666.29,8.03413737,46.49943684,2719.576,12.769,CH1903+ / LV95 + LN02 height
4,1,Inj,4 Bach 01,1,2645663.868,1150094.314,2660.133,2658.723,140,20,18,20,8.03350139,46.50060655,2713.417,2712.007,Global,0.012,0.011,0.014,0.016,0.134,m,FIX,2024-08-09 15:45:02.6 UTC+02:00,2024-08-09 15:45:12.6 UTC+02:00,51,1.5,2645713.674,1149964.656,2666.29,8.03413737,46.49943684,2719.576,139.089,CH1903+ / LV95 + LN02 height
4,3,WTW,4 Bach 02,2,2645686.404,1150088.116,2658.938,2657.528,130,15,18,20,8.03379433,46.50054926,2712.222,2710.812,Global,0.01,0.01,0.021,0.015,0.134,m,FIX,2024-08-09 15:47:19.8 UTC+02:00,2024-08-09 15:47:29.8 UTC+02:00,51,1.8,2645713.674,1149964.656,2666.29,8.03413737,46.49943684,2719.576,126.686,CH1903+ / LV95 + LN02 height
4,4,,4 Bach 03,3,2645699.214,1150080.567,2658.677,2657.267,120,15,28,20,8.03396045,46.50048048,2711.961,2710.551,Global,0.013,0.011,0.016,0.017,0.134,m,FIX,2024-08-09 15:48:54.0 UTC+02:00,2024-08-09 15:49:04.0 UTC+02:00,51,1.5,2645713.674,1149964.656,2666.29,8.03413737,46.49943684,2719.576,117.095,CH1903+ / LV95 + LN02 height
4,4,,4 Bach 04,4,2645707.912,1150076.12,2658.389,2656.979,130,6,18,31,8.03407332,46.50043989,2711.673,2710.263,Global,0.01,0.01,0.015,0.014,0.134,m,FIX,2024-08-09 15:50:12.4 UTC+02:00,2024-08-09 15:50:22.4 UTC+02:00,51,1.4,2645713.674,1149964.656,2666.29,8.03413737,46.49943684,2719.576,111.929,CH1903+ / LV95 + LN02 height
4,4,,4 Bach 05,5,2645724.065,1150064.094,2657.556,2656.146,95,18,18,30,8.03428255,46.5003306,2710.84,2709.43,Global,0.011,0.01,0.013,0.015,0.134,m,FIX,2024-08-09 15:52:04.6 UTC+02:00,2024-08-09 15:52:14.6 UTC+02:00,51,1.5,2645713.674,1149964.656,2666.29,8.03413737,46.49943684,2719.576,100.384,CH1903+ / LV95 + LN02 height
4,5,CTD,4 Bach 06,6,2645753.301,1150049.367,2656.558,2655.148,115,30,25,18,8.03466194,46.50019613,2709.842,2708.432,Global,0.011,0.013,0.014,0.017,0.134,m,FIX,2024-08-09 15:53:39.8 UTC+02:00,2024-08-09 15:53:49.8 UTC+02:00,51,1.6,2645713.674,1149964.656,2666.29,8.03413737,46.49943684,2719.576,94.028,CH1903+ / LV95 + LN02 height
4,6,further_down,4 Bach 07,7,2645765.068,1150043.959,2656.245,2654.835,120,20,18,15,8.03481468,46.50014668,2709.529,2708.119,Global,0.012,0.016,0.016,0.02,0.134,m,FIX,2024-08-09 15:55:16.2 UTC+02:00,2024-08-09 15:55:26.2 UTC+02:00,51,1.5,2645713.674,1149964.656,2666.29,8.03413737,46.49943684,2719.576,95.062,CH1903+ / LV95 + LN02 height
4,6,further_down,4 Bach 08,8,2645781.544,1150040.473,2655.873,2654.463,150,20,18,15,8.03502896,46.5001142,2709.156,2707.746,Global,0.014,0.01,0.014,0.018,0.134,m,FIX,2024-08-09 15:56:47.6 UTC+02:00,2024-08-09 15:56:57.6 UTC+02:00,51,1.5,2645713.674,1149964.656,2666.29,8.03413737,46.49943684,2719.576,102.303,CH1903+ / LV95 + LN02 height
1,1,Inj,1 Bach 01,1,2645976.543,1150423.355,2654.886,2653.476,150,50,30,25,8.03760711,46.503545,2708.163,2706.753,Global,0.013,0.015,0.016,0.019,0.134,m,FIX,2024-08-09 16:19:03.4 UTC+02:00,2024-08-09 16:19:13.4 UTC+02:00,51,1.6,2645713.674,1149964.656,2666.29,8.03413737,46.49943684,2719.576,529.013,CH1903+ / LV95 + LN02 height
1,2,,1 Bach 02,2,2645986.335,1150416.162,2654.416,2653.006,130,50,28,25,8.03773397,46.50347963,2707.693,2706.283,Global,0.011,0.011,0.014,0.015,0.134,m,FIX,2024-08-09 16:21:00.4 UTC+02:00,2024-08-09 16:21:10.4 UTC+02:00,51,1.6,2645713.674,1149964.656,2666.29,8.03413737,46.49943684,2719.576,527.782,CH1903+ / LV95 + LN02 height
1,2,,1 Bach 03,3,2645998.6,1150405.528,2654.311,2652.901,145,45,40,30,8.03789268,46.50338313,2707.588,2706.178,Global,0.012,0.011,0.021,0.016,0.134,m,FIX,2024-08-09 16:22:39.2 UTC+02:00,2024-08-09 16:22:49.2 UTC+02:00,51,1.7,2645713.674,1149964.656,2666.29,8.03413737,46.49943684,2719.576,525.271,CH1903+ / LV95 + LN02 height
