DECODED FM12/13/15/16/94  UNITS: FF:kt;TT:°C;PP:hPa;AP:dPa;VV:km;RR:mm;SN:cm;SS:min;RAD:KJ/m˛/hr .. J/cm˛/day;HW:m;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
INDEX;LOCATOR;TYPE;C;NAME;LAT;LON;ELEV;YYYY;MM;DD;HHmm;DIR;FF;FG;G1h;G10;FX;FX1;FFM;TL;TD;T5;TX;TN;TX6;TN6;TX1;TN1;TN5;TW;Tsfc;T-05;T-10;T-20;T-50;T-1m;RR6h;QFE;QFF;QNH;AP;A;www;960;961;962;963;MetarWX;W1;W2;WWZ;LTNG;VIS;COV;N;L;HLC;ClCmCh;LAYER1;LAYER2;LAYER3;LAYER4;CLG;PIC;VCLOUD1;VCLOUD2;VCLOUD3;VCLOUD4;VFOG;RR;TR;RR10m;RR1h;hh;RR24h;WRTR;SNO;NEW;SR;GS;SS24;Sh;S10;GL24;DF24;LW24;GL1h;DF1h;LW1h;GL10;DF10;LW10;HW;PW;DW1;HW1;P1;DW2;HW2;P2;I;B
 069710; /; SYNO; /; Konkordiahuette SAC; N46 30; E008 03; 2850; 2024; 07; 19; 0140; /; 03; /; /; 07; /; /; /; 9.9; 2.4; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; 729.0; 3127; /; /; /; 0; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; 0; /; /; /; /; /; /; /; /; /; /; 0; /; /; /; /; /; /; 0; /; /; /; /; /; /; /; /; /; /; /; /
 069710; /; SYNO; /; Konkordiahuette SAC; N46 30; E008 03; 2850; 2024; 07; 19; 0150; /; 03; /; /; 07; /; /; /; 9.8; 1.6; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; 729.0; 3127; /; /; /; 0; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; 0; /; /; /; /; /; /; /; /; /; /; 0; /; /; /; /; /; /; 0; /; /; /; /; /; /; /; /; /; /; /; /
 069710; /; SYNO; /; Konkordiahuette SAC; N46 30; E008 03; 2850; 2024; 07; 19; 0200; /; 04; 10; 08; 07; 05; 04; 03; 9.9; 0.6; /; /; /; /; /; 10.1; 9.8; /; /; /; /; /; /; /; /; /; 728.9; 3126; /; -9; 7; 0; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; 0; 0; /; /; /; /; /; /; /; /; 0; 0; /; /; /; 0; /; /; 0; /; /; /; /; /; /; /; /; /; /; /; /
 069710; /; SYNO; /; Konkordiahuette SAC; N46 30; E008 03; 2850; 2024; 07; 19; 0210; /; 04; /; /; 08; /; /; /; 10.1; -0.2; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; 728.9; 3126; /; /; /; 0; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; 0; /; /; /; /; /; /; /; /; /; /; 0; /; /; /; /; /; /; 0; /; /; /; /; /; /; /; /; /; /; /; /
 069710; /; SYNO; /; Konkordiahuette SAC; N46 30; E008 03; 2850; 2024; 07; 19; 0220; /; 04; /; /; 07; /; /; /; 10.1; -0.1; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; 728.8; 3125; /; /; /; 0; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; 0; /; /; /; /; /; /; /; /; /; /; 0; /; /; /; /; /; /; 0; /; /; /; /; /; /; /; /; /; /; /; /
 069710; /; SYNO; /; Konkordiahuette SAC; N46 30; E008 03; 2850; 2024; 07; 19; 0230; /; 02; /; /; 05; /; /; /; 10.0; 0.2; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; 728.9; 3126; /; /; /; 0; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; 0; /; /; /; /; /; /; /; /; /; /; 0; /; /; /; /; /; /; 0; /; /; /; /; /; /; /; /; /; /; /; /
 069710; /; SYNO; /; Konkordiahuette SAC; N46 30; E008 03; 2850; 2024; 07; 19; 0240; /; 04; /; /; 13; /; /; /; 9.9; 1.2; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; 728.8; 3125; /; /; /; 0; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; 0; /; /; /; /; /; /; /; /; /; /; 0; /; /; /; /; /; /; 0; /; /; /; /; /; /; /; /; /; /; /; /
 069710; /; SYNO; /; Konkordiahuette SAC; N46 30; E008 03; 2850; 2024; 07; 19; 0250; /; 04; /; /; 07; /; /; /; 9.8; 1.2; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; 728.8; 3124; /; /; /; 0; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; 0; /; /; /; /; /; /; /; /; /; /; 0; /; /; /; /; /; /; 0; /; /; /; /; /; /; /; /; /; /; /; /
 069710; /; SYNO; /; Konkordiahuette SAC; N46 30; E008 03; 2850; 2024; 07; 19; 0300; /; 04; 13; 13; 07; 04; 04; 04; 9.7; 1.2; /; /; /; /; /; 10.2; 9.7; /; /; /; /; /; /; /; /; /; 728.8; 3124; /; -9; 7; 0; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; 0; 3; 0; 0; /; /; /; /; /; /; /; /; 0; 0; /; /; /; 0; /; /; 0; /; /; /; /; /; /; /; /; /; /; /; /
 069710; /; SYNO; /; Konkordiahuette SAC; N46 30; E008 03; 2850; 2024; 07; 19; 0310; /; 05; /; /; 08; /; /; /; 9.6; 1.9; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; 728.8; 3124; /; /; /; 0; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; 0; /; /; /; /; /; /; /; /; /; /; 0; /; /; /; /; /; /; 0; /; /; /; /; /; /; /; /; /; /; /; /
