DECODED FM12/13/15/16/94  UNITS: FF:kt;TT:°C;PP:hPa;AP:dPa;VV:km;RR:mm;SN:cm;SS:min;RAD:KJ/m˛/hr .. J/cm˛/day;HW:m;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
INDEX;LOCATOR;TYPE;C;NAME;LAT;LON;ELEV;YYYY;MM;DD;HHmm;DIR;FF;FG;G1h;G10;FX;FX1;FFM;TL;TD;T5;TX;TN;TX6;TN6;TX1;TN1;TN5;TW;Tsfc;T-05;T-10;T-20;T-50;T-1m;RR6h;QFE;QFF;QNH;AP;A;www;960;961;962;963;MetarWX;W1;W2;WWZ;LTNG;VIS;COV;N;L;HLC;ClCmCh;LAYER1;LAYER2;LAYER3;LAYER4;CLG;PIC;VCLOUD1;VCLOUD2;VCLOUD3;VCLOUD4;VFOG;RR;TR;RR10m;RR1h;hh;RR24h;WRTR;SNO;NEW;SR;GS;SS24;Sh;S10;GL24;DF24;LW24;GL1h;DF1h;LW1h;GL10;DF10;LW10;HW;PW;DW1;HW1;P1;DW2;HW2;P2;I;B
 069710; /; SYNO; /; Konkordiahuette SAC; N46 30; E008 03; 2850; 2024; 07; 23; 0530; /; 03; /; /; 07; /; /; /; 6.0; 3.9; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; 726.3; 3093; /; /; /; 0; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; 0; /; /; /; /; /; /; /; /; /; /; 0; /; /; /; /; /; /; 14; /; /; /; /; /; /; /; /; /; /; /; /
 069710; /; SYNO; /; Konkordiahuette SAC; N46 30; E008 03; 2850; 2024; 07; 23; 0540; /; 04; /; /; 10; /; /; /; 5.8; 3.7; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; 726.4; 3093; /; /; /; 0; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; 0; /; /; /; /; /; /; /; /; /; /; 0; /; /; /; /; /; /; 14; /; /; /; /; /; /; /; /; /; /; /; /
 069710; /; SYNO; /; Konkordiahuette SAC; N46 30; E008 03; 2850; 2024; 07; 23; 0550; /; 03; /; /; 06; /; /; /; 5.2; 4.5; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; 726.4; 3093; /; /; /; 0; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; 0; /; /; /; /; /; /; /; /; /; /; 0; /; /; /; /; /; /; 17; /; /; /; /; /; /; /; /; /; /; /; /
 069710; /; SYNO; A; Konkordiahuette SAC; N46 30; E008 03; 2850; 2024; 07; 23; 0600; /; 03; 13; 10; 06; 07; 04; 03; 5.3; 4.2; /; 9.2; 4.7; /; /; 7.0; 4.9; /; /; /; /; /; /; /; /; /; 726.4; 3093; /; 3; 2; 0; /; /; /; /; /; /; /; /; /; /; SCT; 3; 3; /; Sc5; /; /; /; /; SCT; /; /; /; /; /; /; 0; 12; 0; 0; /; 0; /; /; /; /; /; 600; 0; 0; /; /; /; 90; /; /; 22; /; /; /; /; /; /; /; /; /; /; /; /
 069710; /; SYNO; /; Konkordiahuette SAC; N46 30; E008 03; 2850; 2024; 07; 23; 0610; /; 03; /; /; 07; /; /; /; 5.3; 4.4; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; 726.4; 3093; /; /; /; 0; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; 0; /; /; /; /; /; /; /; /; /; /; 0; /; /; /; /; /; /; 20; /; /; /; /; /; /; /; /; /; /; /; /
 069710; /; SYNO; /; Konkordiahuette SAC; N46 30; E008 03; 2850; 2024; 07; 23; 0620; /; 02; /; /; 05; /; /; /; 5.6; 4.1; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; 726.5; 3094; /; /; /; 0; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; 0; /; /; /; /; /; /; /; /; /; /; 0; /; /; /; /; /; /; 20; /; /; /; /; /; /; /; /; /; /; /; /
 069710; /; SYNO; /; Konkordiahuette SAC; N46 30; E008 03; 2850; 2024; 07; 23; 0630; /; 03; /; /; 07; /; /; /; 5.3; 4.0; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; 726.5; 3094; /; /; /; 0; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; 0; /; /; /; /; /; /; /; /; /; /; 0; /; /; /; /; /; /; 21; /; /; /; /; /; /; /; /; /; /; /; /
 069710; /; SYNO; /; Konkordiahuette SAC; N46 30; E008 03; 2850; 2024; 07; 23; 0640; /; 04; /; /; 10; /; /; /; 6.1; 3.4; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; 726.6; 3096; /; /; /; 0; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; 0; /; /; /; /; /; /; /; /; /; /; 0; /; /; /; /; /; /; 22; /; /; /; /; /; /; /; /; /; /; /; /
 069710; /; SYNO; /; Konkordiahuette SAC; N46 30; E008 03; 2850; 2024; 07; 23; 0650; /; 03; /; /; 08; /; /; /; 6.2; 3.1; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; 726.6; 3096; /; /; /; 0; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; 0; /; /; /; /; /; /; /; /; /; /; 0; /; /; /; /; /; /; 23; /; /; /; /; /; /; /; /; /; /; /; /
 069710; /; SYNO; /; Konkordiahuette SAC; N46 30; E008 03; 2850; 2024; 07; 23; 0700; /; 06; 13; 12; 12; 07; 06; 04; 6.4; 2.5; /; /; /; /; /; 6.8; 4.9; /; /; /; /; /; /; /; /; /; 726.6; 3096; /; 6; 2; 0; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; 0; 0; /; /; /; /; /; /; /; /; 0; 0; /; /; /; 133; /; /; 28; /; /; /; /; /; /; /; /; /; /; /; /
 069710; /; SYNO; /; Konkordiahuette SAC; N46 30; E008 03; 2850; 2024; 07; 23; 0710; /; 05; /; /; 11; /; /; /; 6.8; 2.7; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; 726.6; 3097; /; /; /; 0; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; 0; /; /; /; /; /; /; /; /; /; /; 0; /; /; /; /; /; /; 36; /; /; /; /; /; /; /; /; /; /; /; /
 069710; /; SYNO; /; Konkordiahuette SAC; N46 30; E008 03; 2850; 2024; 07; 23; 0720; /; 06; /; /; 12; /; /; /; 6.8; 2.4; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; 726.7; 3098; /; /; /; 0; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; 0; /; /; /; /; /; /; /; /; /; /; 0; /; /; /; /; /; /; 28; /; /; /; /; /; /; /; /; /; /; /; /
 069710; /; SYNO; /; Konkordiahuette SAC; N46 30; E008 03; 2850; 2024; 07; 23; 0730; /; 06; /; /; 12; /; /; /; 6.8; 2.4; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; 726.7; 3098; /; /; /; 0; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; 0; /; /; /; /; /; /; /; /; /; /; 0; /; /; /; /; /; /; 25; /; /; /; /; /; /; /; /; /; /; /; /
 069710; /; SYNO; /; Konkordiahuette SAC; N46 30; E008 03; 2850; 2024; 07; 23; 0740; /; 04; /; /; 10; /; /; /; 6.0; 3.7; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; 726.8; 3098; /; /; /; 0; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; 0; /; /; /; /; /; /; /; /; /; /; 25; /; /; /; /; /; /; 54; /; /; /; /; /; /; /; /; /; /; /; /
 069710; /; SYNO; /; Konkordiahuette SAC; N46 30; E008 03; 2850; 2024; 07; 23; 0750; /; 05; /; /; 11; /; /; /; 6.8; 2.5; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; 726.8; 3099; /; /; /; 0; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; 0; /; /; /; /; /; /; /; /; /; /; 100; /; /; /; /; /; /; 377; /; /; /; /; /; /; /; /; /; /; /; /
 069710; /; SYNO; /; Konkordiahuette SAC; N46 30; E008 03; 2850; 2024; 07; 23; 0800; /; 03; 12; 12; 06; 06; 06; 05; 6.7; 4.5; /; /; /; /; /; 7.1; 5.7; /; /; /; /; /; /; /; /; /; 726.8; 3099; /; 6; 2; 0; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; 0; 0; /; /; /; /; /; /; /; /; 22; 100; /; /; /; 930; /; /; 409; /; /; /; /; /; /; /; /; /; /; /; /
 069710; /; SYNO; /; Konkordiahuette SAC; N46 30; E008 03; 2850; 2024; 07; 23; 0810; /; 04; /; /; 08; /; /; /; 6.6; 3.8; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; 726.8; 3099; /; /; /; 0; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; 0; /; /; /; /; /; /; /; /; /; /; 100; /; /; /; /; /; /; 383; /; /; /; /; /; /; /; /; /; /; /; /
 069710; /; SYNO; /; Konkordiahuette SAC; N46 30; E008 03; 2850; 2024; 07; 23; 0820; /; 04; /; /; 08; /; /; /; 6.9; 4.1; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; 726.8; 3099; /; /; /; 0; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; 0; /; /; /; /; /; /; /; /; /; /; 100; /; /; /; /; /; /; 435; /; /; /; /; /; /; /; /; /; /; /; /
 069710; /; SYNO; /; Konkordiahuette SAC; N46 30; E008 03; 2850; 2024; 07; 23; 0830; /; 05; /; /; 09; /; /; /; 7.1; 3.1; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; 726.8; 3099; /; /; /; 0; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; 0; /; /; /; /; /; /; /; /; /; /; 100; /; /; /; /; /; /; 451; /; /; /; /; /; /; /; /; /; /; /; /
 069710; /; SYNO; /; Konkordiahuette SAC; N46 30; E008 03; 2850; 2024; 07; 23; 0840; /; 05; /; /; 08; /; /; /; 7.4; 3.3; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; 726.8; 3100; /; /; /; 0; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; 0; /; /; /; /; /; /; /; /; /; /; 100; /; /; /; /; /; /; 468; /; /; /; /; /; /; /; /; /; /; /; /
 069710; /; SYNO; /; Konkordiahuette SAC; N46 30; E008 03; 2850; 2024; 07; 23; 0850; /; 06; /; /; 12; /; /; /; 7.5; 2.9; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; 726.8; 3100; /; /; /; 0; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; 0; /; /; /; /; /; /; /; /; /; /; 100; /; /; /; /; /; /; 483; /; /; /; /; /; /; /; /; /; /; /; /
 069710; /; SYNO; /; Konkordiahuette SAC; N46 30; E008 03; 2850; 2024; 07; 23; 0900; /; 04; 12; 12; 08; 06; 06; 05; 7.5; 2.4; /; /; 4.7; /; /; 7.9; 6.4; /; /; /; /; /; /; /; /; /; 726.8; 3100; /; 4; 2; 0; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; 0; 3; 0; 0; /; /; /; /; /; /; /; /; 60; 100; /; /; /; 2715; /; /; 496; /; /; /; /; /; /; /; /; /; /; /; /
 069710; /; SYNO; /; Konkordiahuette SAC; N46 30; E008 03; 2850; 2024; 07; 23; 0910; /; 07; /; /; 14; /; /; /; 8.1; 1.3; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; 726.8; 3100; /; /; /; 0; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; 0; /; /; /; /; /; /; /; /; /; /; 100; /; /; /; /; /; /; 511; /; /; /; /; /; /; /; /; /; /; /; /
 069710; /; SYNO; /; Konkordiahuette SAC; N46 30; E008 03; 2850; 2024; 07; 23; 0920; /; 05; /; /; 08; /; /; /; 8.4; 1.2; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; 726.8; 3100; /; /; /; 0; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; 0; /; /; /; /; /; /; /; /; /; /; 100; /; /; /; /; /; /; 524; /; /; /; /; /; /; /; /; /; /; /; /
 069710; /; SYNO; /; Konkordiahuette SAC; N46 30; E008 03; 2850; 2024; 07; 23; 0930; /; 07; /; /; 16; /; /; /; 8.0; 1.0; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; 726.9; 3101; /; /; /; 0; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; 0; /; /; /; /; /; /; /; /; /; /; 100; /; /; /; /; /; /; 538; /; /; /; /; /; /; /; /; /; /; /; /
 069710; /; SYNO; /; Konkordiahuette SAC; N46 30; E008 03; 2850; 2024; 07; 23; 0940; /; 07; /; /; 16; /; /; /; 7.8; 0.3; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; 726.9; 3101; /; /; /; 0; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; 0; /; /; /; /; /; /; /; /; /; /; 100; /; /; /; /; /; /; 512; /; /; /; /; /; /; /; /; /; /; /; /
 069710; /; SYNO; /; Konkordiahuette SAC; N46 30; E008 03; 2850; 2024; 07; 23; 0950; /; 05; /; /; 10; /; /; /; 8.3; 0.3; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; 727.0; 3103; /; /; /; 0; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; 0; /; /; /; /; /; /; /; /; /; /; 100; /; /; /; /; /; /; 540; /; /; /; /; /; /; /; /; /; /; /; /
 069710; /; SYNO; /; Konkordiahuette SAC; N46 30; E008 03; 2850; 2024; 07; 23; 1000; /; 06; 16; 16; 10; 07; 07; 06; 7.8; 0.7; /; /; /; /; /; 8.7; 7.5; /; /; /; /; /; /; /; /; /; 727.0; 3102; /; 4; 2; 0; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; 0; 0; /; /; /; /; /; /; /; /; 60; 100; /; /; /; 3203; /; /; 578; /; /; /; /; /; /; /; /; /; /; /; /
 069710; /; SYNO; /; Konkordiahuette SAC; N46 30; E008 03; 2850; 2024; 07; 23; 1010; /; 05; /; /; 09; /; /; /; 8.3; 0.9; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; 727.1; 3104; /; /; /; 0; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; 0; /; /; /; /; /; /; /; /; /; /; 100; /; /; /; /; /; /; 586; /; /; /; /; /; /; /; /; /; /; /; /
 069710; /; SYNO; /; Konkordiahuette SAC; N46 30; E008 03; 2850; 2024; 07; 23; 1020; /; 04; /; /; 07; /; /; /; 8.4; 0.1; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; 727.1; 3104; /; /; /; 0; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; 0; /; /; /; /; /; /; /; /; /; /; 100; /; /; /; /; /; /; 594; /; /; /; /; /; /; /; /; /; /; /; /
 069710; /; SYNO; /; Konkordiahuette SAC; N46 30; E008 03; 2850; 2024; 07; 23; 1030; /; 04; /; /; 07; /; /; /; 8.8; -0.6; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; 727.1; 3104; /; /; /; 0; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; 0; /; /; /; /; /; /; /; /; /; /; 100; /; /; /; /; /; /; 599; /; /; /; /; /; /; /; /; /; /; /; /
 069710; /; SYNO; /; Konkordiahuette SAC; N46 30; E008 03; 2850; 2024; 07; 23; 1040; /; 07; /; /; 10; /; /; /; 9.9; -0.8; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; 727.1; 3105; /; /; /; 0; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; 0; /; /; /; /; /; /; /; /; /; /; 100; /; /; /; /; /; /; 604; /; /; /; /; /; /; /; /; /; /; /; /
 069710; /; SYNO; /; Konkordiahuette SAC; N46 30; E008 03; 2850; 2024; 07; 23; 1050; /; 06; /; /; 10; /; /; /; 9.4; -1.7; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; 727.3; 3107; /; /; /; 0; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; 0; /; /; /; /; /; /; /; /; /; /; 100; /; /; /; /; /; /; 610; /; /; /; /; /; /; /; /; /; /; /; /
 069710; /; SYNO; /; Konkordiahuette SAC; N46 30; E008 03; 2850; 2024; 07; 23; 1100; /; 05; 16; 10; 08; 07; 07; 05; 9.8; -2.5; /; /; /; /; /; 10.2; 7.9; /; /; /; /; /; /; /; /; /; 727.3; 3107; /; 5; 2; 0; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; 0; 0; /; /; /; /; /; /; /; /; 60; 100; /; /; /; 3611; /; /; 618; /; /; /; /; /; /; /; /; /; /; /; /
 069710; /; SYNO; /; Konkordiahuette SAC; N46 30; E008 03; 2850; 2024; 07; 23; 1110; /; 06; /; /; 10; /; /; /; 10.5; -4.8; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; 727.2; 3107; /; /; /; 0; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; 0; /; /; /; /; /; /; /; /; /; /; 100; /; /; /; /; /; /; 634; /; /; /; /; /; /; /; /; /; /; /; /
 069710; /; SYNO; /; Konkordiahuette SAC; N46 30; E008 03; 2850; 2024; 07; 23; 1120; /; 05; /; /; 09; /; /; /; 10.6; -5.5; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; 727.2; 3107; /; /; /; 0; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; 0; /; /; /; /; /; /; /; /; /; /; 100; /; /; /; /; /; /; 641; /; /; /; /; /; /; /; /; /; /; /; /
 069710; /; SYNO; /; Konkordiahuette SAC; N46 30; E008 03; 2850; 2024; 07; 23; 1130; /; 05; /; /; 09; /; /; /; 10.4; -3.3; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; 727.2; 3107; /; /; /; 0; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; 0; /; /; /; /; /; /; /; /; /; /; 100; /; /; /; /; /; /; 635; /; /; /; /; /; /; /; /; /; /; /; /
 069710; /; SYNO; /; Konkordiahuette SAC; N46 30; E008 03; 2850; 2024; 07; 23; 1140; /; 06; /; /; 10; /; /; /; 10.6; -3.4; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; 727.3; 3108; /; /; /; 0; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; 0; /; /; /; /; /; /; /; /; /; /; 100; /; /; /; /; /; /; 647; /; /; /; /; /; /; /; /; /; /; /; /
 069710; /; SYNO; /; Konkordiahuette SAC; N46 30; E008 03; 2850; 2024; 07; 23; 1150; /; 05; /; /; 08; /; /; /; 10.8; -3.6; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; 727.4; 3110; /; /; /; 0; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; 0; /; /; /; /; /; /; /; /; /; /; 100; /; /; /; /; /; /; 647; /; /; /; /; /; /; /; /; /; /; /; /
 069710; /; SYNO; /; Konkordiahuette SAC; N46 30; E008 03; 2850; 2024; 07; 23; 1200; /; 06; 16; 10; 10; 07; 06; 06; 10.8; -3.9; /; 11.0; 4.7; /; /; 11.0; 10.1; /; /; /; /; /; /; /; /; /; 727.4; 3109; /; 6; 2; 0; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; 0; 6; 0; 0; /; 0; /; /; /; /; /; /; 60; 100; /; /; /; 3871; /; /; 667; /; /; /; /; /; /; /; /; /; /; /; /
 069710; /; SYNO; /; Konkordiahuette SAC; N46 30; E008 03; 2850; 2024; 07; 23; 1210; /; 06; /; /; 11; /; /; /; 11.0; -1.9; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; 727.4; 3110; /; /; /; 0; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; 0; /; /; /; /; /; /; /; /; /; /; 100; /; /; /; /; /; /; 681; /; /; /; /; /; /; /; /; /; /; /; /
 069710; /; SYNO; /; Konkordiahuette SAC; N46 30; E008 03; 2850; 2024; 07; 23; 1220; /; 07; /; /; 10; /; /; /; 10.9; -2.0; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; 727.5; 3111; /; /; /; 0; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; 0; /; /; /; /; /; /; /; /; /; /; 100; /; /; /; /; /; /; 644; /; /; /; /; /; /; /; /; /; /; /; /
 069710; /; SYNO; /; Konkordiahuette SAC; N46 30; E008 03; 2850; 2024; 07; 23; 1230; /; 06; /; /; 10; /; /; /; 11.1; -1.3; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; 727.5; 3111; /; /; /; 0; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; 0; /; /; /; /; /; /; /; /; /; /; 100; /; /; /; /; /; /; 613; /; /; /; /; /; /; /; /; /; /; /; /
 069710; /; SYNO; /; Konkordiahuette SAC; N46 30; E008 03; 2850; 2024; 07; 23; 1240; /; 06; /; /; 11; /; /; /; 10.8; -0.5; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; 727.5; 3111; /; /; /; 0; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; 0; /; /; /; /; /; /; /; /; /; /; 100; /; /; /; /; /; /; 605; /; /; /; /; /; /; /; /; /; /; /; /
 069710; /; SYNO; /; Konkordiahuette SAC; N46 30; E008 03; 2850; 2024; 07; 23; 1250; /; 06; /; /; 10; /; /; /; 10.6; -0.5; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; 727.6; 3112; /; /; /; 0; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; 0; /; /; /; /; /; /; /; /; /; /; 100; /; /; /; /; /; /; 602; /; /; /; /; /; /; /; /; /; /; /; /
 069710; /; SYNO; /; Konkordiahuette SAC; N46 30; E008 03; 2850; 2024; 07; 23; 1300; /; 07; 11; 11; 11; 07; 07; 06; 11.0; -0.6; /; /; /; /; /; 11.4; 10.3; /; /; /; /; /; /; /; /; /; 727.6; 3112; /; 6; 2; 0; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; 0; 0; /; /; /; /; /; /; /; /; 60; 100; /; /; /; 3737; /; /; 592; /; /; /; /; /; /; /; /; /; /; /; /
 069710; /; SYNO; /; Konkordiahuette SAC; N46 30; E008 03; 2850; 2024; 07; 23; 1310; /; 08; /; /; 12; /; /; /; 11.4; -1.0; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; 727.6; 3113; /; /; /; 0; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; 0; /; /; /; /; /; /; /; /; /; /; 100; /; /; /; /; /; /; 581; /; /; /; /; /; /; /; /; /; /; /; /
 069710; /; SYNO; /; Konkordiahuette SAC; N46 30; E008 03; 2850; 2024; 07; 23; 1320; /; 09; /; /; 16; /; /; /; 11.7; -0.2; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; 727.6; 3113; /; /; /; 0; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; 0; /; /; /; /; /; /; /; /; /; /; 100; /; /; /; /; /; /; 573; /; /; /; /; /; /; /; /; /; /; /; /
 069710; /; SYNO; /; Konkordiahuette SAC; N46 30; E008 03; 2850; 2024; 07; 23; 1330; /; 08; /; /; 12; /; /; /; 11.5; 0.3; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; 727.7; 3114; /; /; /; 0; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; 0; /; /; /; /; /; /; /; /; /; /; 100; /; /; /; /; /; /; 571; /; /; /; /; /; /; /; /; /; /; /; /
 069710; /; SYNO; /; Konkordiahuette SAC; N46 30; E008 03; 2850; 2024; 07; 23; 1340; /; 08; /; /; 12; /; /; /; 11.4; 0.5; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; 727.6; 3113; /; /; /; 0; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; 0; /; /; /; /; /; /; /; /; /; /; 98; /; /; /; /; /; /; 556; /; /; /; /; /; /; /; /; /; /; /; /
 069710; /; SYNO; /; Konkordiahuette SAC; N46 30; E008 03; 2850; 2024; 07; 23; 1350; /; 08; /; /; 12; /; /; /; 11.9; 1.2; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; 727.6; 3113; /; /; /; 0; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; 0; /; /; /; /; /; /; /; /; /; /; 85; /; /; /; /; /; /; 432; /; /; /; /; /; /; /; /; /; /; /; /
 069710; /; SYNO; /; Konkordiahuette SAC; N46 30; E008 03; 2850; 2024; 07; 23; 1400; /; 10; 16; 16; 16; 10; 10; 08; 11.9; 1.5; /; /; /; /; /; 12.3; 11.1; /; /; /; /; /; /; /; /; /; 727.6; 3113; /; 3; 2; 0; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; 0; 0; /; /; /; /; /; /; /; /; 58; 93; /; /; /; 3122; /; /; 409; /; /; /; /; /; /; /; /; /; /; /; /
