y_col,x_col,p_value,nrows,slope,intercept
AR_measured,AR_A,2.0723653733631252e-5,10,1.1771813087687384,-0.7290649932781688
AR_measured,Sinu,0.06260499719842579,10,12.962958790391339,-9.853730745146414
AR_measured,W_avg_A,0.09307312491832673,10,2.8956491866342198,1.127873667719685
AR_measured,W_avg_measured,0.019705222992837588,10,3.2457692376537843,0.777121768451379
AR_measured,Depth_avg,0.10475990552327685,10,-15.560510138576314,8.570635764031843
AR_measured,Grad_straight,0.7788500830906487,10,-12.279191112029185,4.819081945905599
AR_measured,Grad_flow,0.5436674777666692,10,-28.075703073060616,5.26187868991655
AR_measured,Q_mean_sd,0.7753843152087223,5,-2.02005851920433,5.963543817292339
AR_measured,Q_max_sd,0.6132958377317619,5,-1.0122483538110412,6.158791455122199
AR_measured,v_Qmax,0.03394267713759791,10,-1.0476763763460037,5.538798607719772
AR_measured,f_Qmax,0.7458383449131885,10,-0.20114165886023577,4.540008106902762
AR_measured,Q_max_meas,0.6723899290251548,10,1.2017353932495407,4.011839050533639
