y_col,x_col,p_value,nrows,slope,intercept
AR_measured,AR_A,2.0723653733631252e-5,10,1.1771813087687384,-0.7290649932781688
AR_measured,Sinu,0.06260499719842579,10,12.962958790391339,-9.853730745146414
AR_measured,W_avg_A,0.09307312491832673,10,2.8956491866342198,1.127873667719685
AR_measured,W_avg_measured,0.019705222992837588,10,3.2457692376537843,0.777121768451379
AR_measured,Depth_avg,0.10475990552327685,10,-15.560510138576314,8.570635764031843
AR_measured,Grad_straight,0.7788500830906487,10,-12.279191112029185,4.819081945905599
AR_measured,Grad_flow,0.5436674777666692,10,-28.075703073060616,5.26187868991655
AR_measured,Q_mean_sd,0.7753843152087223,5,-2.02005851920433,5.963543817292339
AR_measured,Q_max_sd,0.6132958377317619,5,-1.0122483538110412,6.158791455122199
AR_measured,v_Qmax,0.03394267713759791,10,-1.0476763763460037,5.538798607719772
AR_measured,f_Qmax,0.7458383449131885,10,-0.20114165886023577,4.540008106902762
AR_measured,Q_max_meas,0.6723899290251548,10,1.2017353932495407,4.011839050533639
AR_A,Sinu,0.018777643801200398,10,12.444580646519388,-9.327857941237474
AR_A,W_avg_A,0.054400227679936415,10,2.61177453063278,1.4051617390104143
AR_A,W_avg_measured,0.03128043095594346,10,2.4841698681983027,1.5851903660566427
AR_A,Depth_avg,0.11501503125355222,10,-12.291832211959374,7.652259172489264
AR_A,Grad_straight,0.9605922366796845,10,-1.752990849518942,4.424545063123708
AR_A,Grad_flow,0.6654032892430047,10,-16.279229960647736,4.859735476825135
AR_A,Q_mean_sd,0.5652216725774497,5,-2.9487823024395774,5.934046012202128
AR_A,Q_max_sd,0.45490799127338494,5,-1.0787431348513097,5.984330217798867
AR_A,v_Qmax,0.03764097267342712,10,-0.8355135881074887,5.265818259752943
AR_A,f_Qmax,0.883072965584561,10,-0.07406905287640378,4.413834865013593
AR_A,Q_max_meas,0.7221523870737612,10,0.8192322593331666,4.09427534280194
Sinu,W_avg_A,0.6177437213420429,10,0.043814640943131394,1.0507333462486885
Sinu,W_avg_measured,0.6795093681201276,10,0.03179044938576524,1.0648182398035477
Sinu,Depth_avg,0.026414430763130926,10,-0.9297094207445797,1.348949159640039
Sinu,Grad_straight,0.8953098722948292,10,0.27010744193527386,1.0914274717642225
Sinu,Grad_flow,0.7458142477770113,10,-0.7082951267501126,1.1218788531309336
Sinu,Q_mean_sd,0.1673155493016531,5,-0.5502471087851074,1.2494012329035977
Sinu,Q_max_sd,0.1379391669318368,5,-0.16592876801799555,1.2379727421647264
Sinu,v_Qmax,0.13215073927807625,10,-0.03733925760439917,1.140609589990545
Sinu,f_Qmax,0.560951430686955,10,0.01677136627507003,1.0896359676082943
Sinu,Q_max_meas,0.3808304752929689,10,-0.11440760768799925,1.1383915100947397
W_avg_A,W_avg_measured,8.13487241027907e-5,10,0.8155814433955944,0.2206925587164529
W_avg_A,Depth_avg,0.3777455728365603,10,1.7337054620456724,0.6702749917696147
W_avg_A,Grad_straight,0.5640951545396982,10,-4.826428065397832,1.2942220501028272
W_avg_A,Grad_flow,0.47741613227012414,10,-6.310856677004364,1.3250518024850595
W_avg_A,Q_mean_sd,0.018954345674328864,5,2.3902552333569047,0.8711682208253732
W_avg_A,Q_max_sd,0.015480947300431593,5,0.6940301803191246,0.9365597117465162
W_avg_A,v_Qmax,0.961952431313291,10,0.00524898509483908,1.1280984142068047
W_avg_A,f_Qmax,0.5968936971070331,10,-0.06297380854411355,1.1741977049481664
W_avg_A,Q_max_meas,0.0044795792099422025,10,1.2257486433840052,0.7268011976125238
W_avg_measured,Depth_avg,0.625270661352809,10,1.1179958834196484,0.8206409236466518
W_avg_measured,Grad_straight,0.44861556394118873,10,-7.195360775279183,1.358753033952167
W_avg_measured,Grad_flow,0.3838919867447964,10,-8.774011761335103,1.3854849624307464
W_avg_measured,Q_mean_sd,0.027646663219944415,5,2.6614444539771633,0.844290335847084
W_avg_measured,Q_max_sd,0.05093205237194944,5,0.7315151524078731,0.9413789576391154
W_avg_measured,v_Qmax,0.7427591159467938,10,-0.04116549781550786,1.1638378114079053
W_avg_measured,f_Qmax,0.5589704853364028,10,-0.07943437073577377,1.1705374202024534
W_avg_measured,Q_max_meas,0.006950101368700511,10,1.3612647165480884,0.667576988715314
Depth_avg,Grad_straight,0.8572495652013935,10,-0.274928517145488,0.2764728955066041
Depth_avg,Grad_flow,0.8922016115592596,10,0.22123844396627057,0.2606254506002762
Depth_avg,Q_mean_sd,0.05107631643648019,5,0.5942121953947691,0.14114389608858238
Depth_avg,Q_max_sd,0.02230535170949493,5,0.1813630672584672,0.15220475749162668
Depth_avg,v_Qmax,0.009560885933376161,10,0.041866159575922296,0.22225658255502412
Depth_avg,f_Qmax,0.6555698859886918,10,-0.009629601656637806,0.2735169634723605
Depth_avg,Q_max_meas,0.019092255057296115,10,0.19670621366497476,0.2020254256641475
Grad_straight,Grad_flow,2.097733508358137e-7,10,1.051737148115551,0.0013671833969976304
Grad_straight,Q_mean_sd,0.3235304173527293,5,-0.05340329096670004,0.04260845776904712
Grad_straight,Q_max_sd,0.2505985408712812,5,-0.017328779558662948,0.042220057064861094
Grad_straight,v_Qmax,0.20500676985425845,10,-0.005701473499524094,0.03938717348082794
Grad_straight,f_Qmax,0.5290838792537909,10,0.0032179643781396006,0.03118177527837742
Grad_straight,Q_max_meas,0.6627196982257961,10,-0.010308115801799588,0.03667096213841684
Grad_flow,Q_mean_sd,0.4401608377935812,5,-0.035091011779355835,0.0348919879248997
