y_col,x_col,p_value,nrows,slope,intercept
Grad_flow,Q_max_sd,0.3630762840277232,5,-0.011642048893855374,0.03478706556415648
Grad_flow,v_Qmax,0.33448697533031635,10,-0.0041571936929809825,0.034789020509835136
Grad_flow,f_Qmax,0.547709022223994,10,0.0028824312188094137,0.02846178735817405
Grad_flow,Q_max_meas,0.7630389544121585,10,-0.0066964343155036955,0.03253638365321525
Q_mean_sd,Q_max_sd,0.0032786379166528648,5,0.2822503986585676,0.032128634303798795
Q_mean_sd,v_Qmax,0.24675628801106558,5,0.05042820304315764,0.1601710037038659
Q_mean_sd,f_Qmax,0.3209272608645522,5,-0.054390128396393025,0.24104910825390138
Q_mean_sd,Q_max_meas,0.0020574638329585965,5,0.41459039272438636,0.0265809066656545
Q_max_sd,v_Qmax,0.2087634757338082,5,0.18604648238153684,0.44807831414511073
Q_max_sd,f_Qmax,0.5011500565908852,5,-0.13474253297743347,0.6945574003876201
Q_max_sd,Q_max_meas,3.54024775773686e-5,5,1.4596779502191815,-0.015847998740040885
v_Qmax,f_Qmax,0.48143830425653855,10,-0.2758586493661951,1.2538360031102178
v_Qmax,Q_max_meas,0.322746577004606,10,1.7507142719253284,0.4954153777977212
f_Qmax,Q_max_meas,0.7082345708190777,10,-0.6237080580595799,0.8493691777292627
